单词,等级,词性,音标,中文释义,英文释义,同义替换,固定搭配,例句1,例句来源1,例句2,例句来源2,记忆技巧,使用场景,标签
crucial,Brand7,adj.,/ˈkruːʃəl/,至关重要的;决定性的,extremely important or necessary,"important→crucial, vital, essential","crucial role, crucial factor, crucial decision","Education plays a crucial role in social development.",写作范文,"The data is crucial for understanding market trends.",学习视频,"词根cruc-=cross,十字路口→关键选择","写作Task2,口语Part3,学术写作","IELTS,Brand7,形容词,教育"
acquire,Brand7,v.,/əˈkwaɪə(r)/,获得;习得,to gain something by your own efforts,"get→acquire, obtain, gain","acquire knowledge, acquire skills, acquire experience","Students acquire language skills through practice.",剑桥雅思15,"Companies acquire new technologies to stay competitive.",商业文章,"ac-(to)+quire(seek)=去寻求→获得","写作Task2,口语Part3,正式语境","IELTS,Brand7,动词,教育"
constitute,Brand7,v.,/ˈkɒnstɪtjuːt/,构成;组成,to be the parts that form something,"make up→constitute, comprise, compose","constitute a threat, constitute a majority","Women constitute 40% of the workforce.",学术文章,"These factors constitute the main challenges.",写作范文,"con-(together)+stitute(stand)=站在一起→构成","写作Task2,学术写作,正式报告","IELTS,Brand7,动词,社会"
surge,Brand7,v./n.,/sɜːdʒ/,激增;猛增,a sudden large increase,"increase→surge, soar, skyrocket","surge in demand, surge in popularity, price surge","There has been a surge in online shopping.",商业新闻,"The city experienced a surge in tourism.",雅思阅读,"联想:surge像海浪突然涌起","写作Task1图表,新闻报道,描述增长","IELTS,Brand7,动词,经济"
mitigate,Brand9,v.,/ˈmɪtɪɡeɪt/,减轻;缓和,to make something less harmful or serious,"reduce→mitigate, alleviate, diminish","mitigate climate change, mitigate risks, mitigate effects","Governments should mitigate the impact of pollution.",写作Task2,"Technology can help mitigate environmental damage.",学术文章,"mit-(soft)+igate=使变软→减轻","写作Task2高分,学术论文,正式建议","IELTS,Brand9,动词,环境"
ascertain,Brand9,v.,/ˌæsəˈteɪn/,查明;确定,to find out something for certain,"find out→ascertain, determine, establish","ascertain the facts, ascertain the cause","Researchers need to ascertain the validity of the data.",学术论文,"It is difficult to ascertain the exact number.",研究报告,"as-(to)+certain=使确定→查明","学术写作,研究报告,正式调查","IELTS,Brand9,动词,学术"
ubiquitous,Brand9,adj.,/juːˈbɪkwɪtəs/,无处不在的;普遍存在的,present everywhere,"common→ubiquitous, pervasive, omnipresent","ubiquitous technology, ubiquitous presence","Smartphones have become ubiquitous in modern society.",科技文章,"Social media is ubiquitous among young people.",社会学论文,"ubi-(everywhere)+quit(go)=到处去→无处不在","写作Task2高分,学术讨论,描述普遍现象","IELTS,Brand9,形容词,科技"
corroborate,Brand9,v.,/kəˈrɒbəreɪt/,证实;确证,to provide evidence to support a statement,"prove→corroborate, verify, substantiate","corroborate evidence, corroborate findings, corroborate claims","The witness testimony corroborated the victim's account.",法律文章,"Further research is needed to corroborate these results.",学术论文,"cor-(together)+robor(strength)=一起加强→证实","学术写作,研究论文,法律文件","IELTS,Brand9,动词,学术"
make,Brand5,v.,/meɪk/,制作;做,to create or produce something,"make→create, produce, manufacture","make a decision, make progress, make a difference","We need to make a decision quickly.",日常对话,"Students make progress through practice.",教育文章,"基础词,重点记搭配","口语Part1,写作Task1,日常交流","IELTS,Brand5,动词,基础"
important,Brand5,adj.,/ɪmˈpɔːtnt/,重要的,having great value or significance,"important→significant, crucial, vital","important role, important factor, important issue","Education is important for personal development.",基础写作,"It's important to stay healthy.",日常对话,"基础词,可替换为crucial(Band7)","口语Part1,基础写作,日常交流","IELTS,Brand5,形容词,基础"
